sample,energy_per_spin
0,-1.27
0,-1.22
0,-1.15
0,-1.22
0,-1.29
0,-1.25
0,-1.22
0,-1.2
0,-1.15
0,-1.19
0,-1.16
0,-1.18
0,-1.17
0,-1.17
0,-1.32
0,-1.13
0,-1.1
0,-1.18
0,-1.11
0,-1.01
0,-1.15
0,-1.19
0,-1.2
0,-1.11
0,-1.15
0,-1.11
0,-1.29
0,-1.18
0,-1.12
0,-1.04
0,-1.11
0,-1.05
0,-1.14
0,-1.1
0,-1.21
0,-1.2
0,-1.21
0,-1.31
0,-1.36
0,-1.35
0,-1.31
0,-1.18
0,-1.31
0,-1.11
0,-1.16
0,-1.21
0,-1.07
0,-1.24
0,-1.28
0,-1.1
0,-1.08
0,-1.22
0,-1.11
0,-1.11
0,-1.12
0,-1.11
0,-1.16
0,-1.17
0,-1.04
0,-1.12
0,-1.04
0,-0.8
0,-1.11
0,-1.11
0,-1.2
0,-1.29
0,-1.2
0,-1.22
0,-1.29
0,-1.43
0,-1.45
0,-1.3
0,-1.38
0,-1.31
0,-1.27
0,-1.42
0,-1.48
0,-1.41
0,-1.51
0,-1.44
0,-1.53
0,-1.51
0,-1.42
0,-1.55
0,-1.53
0,-1.67
0,-1.63
0,-1.71
0,-1.43
0,-1.46
0,-1.31
0,-1.47
0,-1.56
0,-1.55
0,-1.43
0,-1.35
0,-1.26
0,-1.22
0,-1.21
0,-1.1
0,-1.11
0,-1.11
0,-1.24
0,-1.3
0,-1.13
0,-1.14
0,-1.17
0,-1.2
0,-1.27
0,-1.2
0,-1.08
0,-1.08
0,-1.08
0,-1.06
0,-1.13
0,-1.15
0,-1.2
0,-1.19
0,-1.25
0,-1.15
0,-1.34
0,-1.27
0,-1.27
0,-1.31
0,-1.22
0,-1.2
0,-1.26
0,-1.17
0,-1.14
0,-1.21
0,-1.25
0,-1.25
0,-1.21
0,-1.07
0,-1.06
0,-1.12
0,-1.11
0,-1.19
0,-1.12
0,-1.18
0,-1.26
0,-1.2
0,-1.16
0,-1.02
0,-1.07
0,-1.05
0,-1.11
0,-1.12
0,-1.07
0,-1.09
0,-1.08
0,-1.07
0,-1
0,-0.93
0,-0.95
0,-1.11
0,-1.02
0,-1.12
0,-1.15
0,-1.07
0,-1.12
0,-1.07
0,-1.13
0,-1.15
0,-1.23
0,-1.31
0,-1.16
0,-1.28
0,-1.12
0,-1.17
0,-1.25
0,-1.26
0,-1.13
0,-1.18
0,-1.21
0,-1.23
0,-1.29
0,-1.33
0,-1.33
0,-1.27
0,-1.26
0,-1.31
0,-1.33
0,-1.38
0,-1.31
0,-1.25
0,-1.24
0,-1.1
0,-1.07
0,-1.38
0,-1.45
0,-1.3
0,-1.27
0,-1.22
0,-1.25
0,-1.28
0,-1.24
0,-1.24
0,-1.22
0,-1.27
0,-1.23
0,-1.25
0,-1.27
0,-1.34
0,-1.37
0,-1.37
0,-1.27
0,-1.23
0,-1.26
0,-1.3
0,-1.31
0,-1.26
0,-1.27
0,-1.32
0,-1.39
0,-1.51
0,-1.28
0,-1.33
0,-1.32
0,-1.34
0,-1.27
0,-1.3
0,-1.38
0,-1.33
0,-1.4
0,-1.36
0,-1.29
0,-1.25
0,-1.18
0,-1.25
0,-1.27
0,-1.18
0,-1.13
0,-1.12
0,-1.13
0,-1.19
0,-1.09
0,-1.22
0,-1.13
0,-1.12
0,-1.1
0,-1.01
0,-1.21
0,-1.24
0,-1.16
0,-1.11
0,-1.17
0,-1.08
0,-1.02
0,-1.23
0,-1.19
0,-1.3
0,-1.29
0,-1.2
0,-1.38
0,-1.4
0,-1.29
0,-1.37
0,-1.18
0,-1.36
0,-1.24
0,-1.15
0,-1.25
0,-1.21
0,-1.21
0,-1.26
0,-1.29
0,-1.29
0,-1.27
0,-1.37
0,-1.37
0,-1.32
0,-1.26
0,-1.19
0,-1.32
0,-1.14
0,-1.2
0,-1.2
0,-1.27
0,-1.31
0,-1.15
0,-1.12
0,-1.21
0,-1.09
0,-0.98
0,-1.01
0,-1.06
0,-1.11
0,-1.11
0,-0.98
0,-1.08
0,-1.17
0,-1.06
0,-0.98
0,-0.95
0,-1.03
0,-0.99
0,-1.1
0,-1.1
0,-1.1
0,-1.05
0,-1.03
0,-1.18
0,-1.2
0,-1.14
0,-1.21
0,-1.05
0,-1.05
0,-1.15
0,-1
0,-1.04
0,-1.07
0,-1.12
0,-1.28
0,-1.17
0,-1.09
0,-1.17
0,-1.25
0,-1.25
0,-1.36
0,-1.41
0,-1.37
0,-1.33
0,-1.2
0,-1.23
0,-1.41
0,-1.42
0,-1.25
0,-1.3
0,-1.13
0,-1.24
0,-1.22
0,-1.24
0,-1.22
0,-1.17
0,-1.16
0,-1.29
0,-1.24
0,-1.25
0,-1.25
0,-1.15
0,-1.22
0,-1.3
0,-1.22
0,-1.26
0,-1.25
0,-1.31
0,-1.35
0,-1.27
0,-1.36
0,-1.25
0,-1.27
0,-1.23
0,-1.24
0,-1.23
0,-1.33
0,-1.35
0,-1.34
0,-1.44
0,-1.53
0,-1.43
0,-1.45
0,-1.48
0,-1.41
0,-1.47
0,-1.45
0,-1.37
0,-1.32
0,-1.47
0,-1.46
0,-1.52
0,-1.47
0,-1.41
0,-1.44
0,-1.32
0,-1.12
0,-1.11
0,-1.17
0,-1.11
0,-1.03
0,-1.02
0,-0.96
0,-0.9
0,-0.91
0,-0.97
0,-1.01
0,-1.06
0,-1.11
0,-1.09
0,-1.12
0,-1.2
0,-0.98
0,-1.01
0,-1.07
0,-0.92
0,-1.08
0,-1.15
0,-1.26
0,-1.21
0,-1.19
0,-1.11
0,-1.01
0,-1.15
0,-1.1
0,-1.18
0,-1.1
0,-1.19
0,-1.17
0,-1.1
0,-1.14
0,-1.19
0,-1.17
0,-1.05
0,-1.19
0,-1.17
0,-1.21
0,-1.24
0,-1.39
0,-1.32
0,-1.2
0,-1.22
0,-1.16
0,-1.15
0,-1.22
0,-1.18
0,-1.3
0,-1.2
0,-1.13
0,-1.11
0,-1.21
0,-1.17
0,-1.13
0,-1.28
0,-1.32
0,-1.48
0,-1.5
0,-1.43
0,-1.39
0,-1.23
0,-1.26
0,-1.4
0,-1.38
0,-1.34
0,-1.3
0,-1.44
0,-1.35
0,-1.46
0,-1.44
0,-1.43
0,-1.39
0,-1.52
0,-1.47
0,-1.36
0,-1.16
0,-1.32
0,-1.31
0,-1.34
0,-1.29
0,-1.21
0,-1.21
0,-1.29
0,-1.26
0,-1.41
0,-1.44
0,-1.51
0,-1.37
0,-1.41
0,-1.4
0,-1.34
0,-1.36
0,-1.29
0,-1.25
0,-1.31
0,-1.3
0,-1.26
0,-1.19
0,-1.18
0,-1.32
0,-1.25
0,-1.09
0,-1.1
0,-1.15
0,-1.11
0,-1.03
0,-1.13
0,-1.08
0,-1.07
0,-1.05
0,-1.09
0,-1.27
0,-1.22
0,-1.29
0,-1.28
0,-1.21
0,-1.2
0,-1.19
0,-1.17
0,-1.22
0,-1.31
0,-1.16
0,-1.11
0,-1.29
0,-1.23
0,-1.07
0,-1.06
0,-1.04
0,-1.12
0,-1.25
0,-1.27
0,-1.12
0,-1.14
0,-1.16
0,-1.18
0,-1.17
0,-1.11
0,-1.19
0,-1.17
0,-1.34
0,-1.28
0,-1.26
0,-1.29
0,-1.23
0,-1.38
0,-1.26
0,-1.17
0,-1.24
0,-1.14
0,-1.12
0,-1.1
0,-1.03
0,-0.93
0,-1.04
0,-1.01
0,-0.99
0,-1.06
0,-1.07
0,-1.26
0,-1.21
0,-1.18
0,-1.11
0,-1.2
0,-1.2
0,-1.24
0,-1.23
0,-1.08
0,-1.26
0,-1.32
0,-1.31
0,-1.2
0,-1.32
0,-1.26
0,-1.12
0,-1.03
0,-0.93
0,-0.98
0,-1
0,-0.96
0,-1.11
0,-0.94
0,-1.04
0,-1.12
0,-1.26
0,-1.25
0,-1.12
0,-1.12
0,-1.18
0,-0.97
0,-0.94
0,-0.95
0,-0.95
0,-0.85
0,-1.02
0,-1.01
0,-1.07
0,-1.08
0,-1.08
0,-1.07
0,-1.02
0,-0.97
0,-1.03
0,-1.16
0,-1.09
0,-1.11
0,-0.97
0,-0.95
0,-0.88
0,-0.98
0,-1.11
0,-1.04
0,-0.98
0,-1.01
0,-1.03
0,-0.99
0,-1.05
0,-0.98
0,-1.01
0,-1.14
0,-1.04
0,-1.22
0,-1.16
0,-1.23
0,-1.25
0,-1.23
0,-1.17
0,-1.22
0,-1.18
0,-1.16
0,-1.06
0,-1.05
0,-1.2
0,-1.18
0,-1.18
0,-1.19
0,-1.27
0,-1
0,-0.97
0,-0.91
0,-0.84
0,-0.99
0,-0.99
0,-1.01
0,-1.03
0,-0.93
0,-1.2
0,-1.16
0,-1.15
0,-1.08
0,-1
0,-1.12
0,-1.16
0,-1.17
0,-1.07
0,-1
0,-1.05
0,-1.17
0,-1.12
0,-1.17
0,-1.09
0,-0.99
0,-0.97
0,-0.94
0,-1.03
0,-1.11
0,-1.22
0,-1.12
0,-1.16
0,-1.2
0,-1.07
0,-0.93
0,-0.92
0,-1.01
0,-1.03
0,-1.12
0,-1.15
0,-1.11
0,-1.07
0,-1.11
0,-1.05
0,-1.08
0,-1.07
0,-1.06
0,-1.13
0,-1.13
0,-1.26
0,-1.28
0,-1.31
0,-1.24
0,-1.15
0,-1.13
0,-1.12
0,-1.08
0,-1.1
0,-1.05
0,-1.12
0,-1.13
0,-1.21
0,-1.2
0,-1.12
0,-1.12
0,-1.05
0,-1.14
0,-1.17
0,-1.11
0,-1.27
0,-1.23
0,-1.22
0,-1.13
0,-1.17
0,-1.26
0,-1.33
0,-1.29
0,-1.4
0,-1.35
0,-1.3
0,-1.2
0,-1.29
0,-1.26
0,-1.15
0,-1.28
0,-1.26
0,-1.19
0,-1.09
0,-0.95
0,-1.09
0,-1.05
0,-1.14
0,-1.1
0,-1.16
0,-1.19
0,-1.05
0,-1.01
0,-1
0,-1.07
0,-1.05
0,-1.06
0,-1.23
0,-1.11
0,-1.22
0,-1.18
0,-1.14
0,-1.16
0,-1.17
0,-1.15
0,-1.04
0,-1.07
0,-1.08
0,-1.18
0,-1.13
0,-1.14
0,-1.23
0,-1.26
0,-1.17
0,-1.1
0,-1.04
0,-1.21
0,-1.15
0,-1.08
0,-1.12
0,-1.11
0,-1.09
0,-1.02
0,-1.07
0,-1.12
0,-1.06
0,-1.05
0,-1.06
0,-1.06
0,-1.06
0,-1
0,-1.1
0,-1.17
0,-1.16
0,-1.06
0,-1.09
0,-1.19
0,-1.19
0,-1.25
0,-1.32
0,-1.39
0,-1.28
0,-1.22
0,-1.19
0,-1.22
0,-1.19
0,-1.12
0,-1.06
0,-1.11
0,-1.11
0,-1.26
0,-1.31
0,-1.19
0,-1.17
0,-1.16
0,-1.19
0,-1.09
0,-1.27
0,-1.31
0,-1.21
0,-1.13
0,-1.19
0,-1.18
0,-1.12
0,-1.11
0,-1.31
0,-1.28
0,-1.27
0,-1.18
0,-1.24
0,-1.15
0,-1.27
0,-1.37
0,-1.28
0,-1.15
0,-1.2
0,-1.07
0,-1.12
0,-1.2
0,-1.18
0,-1.12
0,-1.09
0,-1.16
0,-1.16
0,-1.17
0,-1.18
0,-1.07
0,-1.19
0,-1.14
0,-1.1
0,-1.14
0,-1.1
0,-1.07
0,-1.23
0,-1.19
0,-1.12
0,-1.09
0,-1.08
0,-1.04
0,-1.06
0,-1.01
0,-1.1
0,-0.96
0,-1.1
0,-1.22
0,-1.14
0,-1.13
0,-1.24
0,-1.31
0,-1.19
0,-1.05
0,-1.02
0,-1.01
0,-1.04
0,-1.05
0,-1.13
0,-1.03
0,-1.03
0,-1.17
0,-1.25
0,-1.21
0,-1.23
0,-1.1
0,-1.19
0,-1.23
0,-1.13
0,-1.14
0,-1.34
0,-1.29
0,-1.35
0,-1.34
0,-1.26
0,-1.14
0,-1.21
0,-1.15
0,-1.15
0,-1.19
0,-1.12
0,-1.12
0,-1.17
0,-1.19
0,-1.27
0,-1.21
0,-1.26
0,-1.27
0,-1.27
0,-1.26
0,-1.18
0,-1.18
0,-1.21
0,-1.18
0,-1.14
0,-1.11
0,-1.08
0,-1.12
0,-1.17
0,-1.19
0,-1.07
0,-1.09
0,-1.11
0,-1.13
0,-1.2
0,-1.29
0,-1.29
0,-1.26
0,-1.16
0,-1.27
0,-1.11
0,-1.08
0,-0.99
0,-1.1
0,-1.06
0,-1.2
0,-1.15
0,-1.15
0,-1.15
0,-1.12
0,-1.29
0,-1.22
0,-1.13
0,-1.24
0,-1.22
0,-1.29
0,-1.22
0,-0.95
0,-1
0,-1.05
0,-0.97
0,-1.2
0,-1.24
0,-1.32
0,-1.25
0,-1.11
0,-1.24
0,-1.27
0,-1.23
0,-1.17
0,-1.15
0,-1.15
0,-1.06
0,-1.11
0,-1.09
0,-1.11
0,-1.11
0,-1.27
0,-1.11
0,-1.24
0,-1.15
0,-1.19
0,-1.13
0,-1.18
0,-1.21
0,-1.08
0,-1.06
0,-1
0,-1.11
0,-1.11
0,-1.17
0,-1.02
0,-1.02
0,-1.05
0,-1.19
0,-1.22
0,-1.19
0,-1.18
0,-1.23
0,-1.26
0,-1.26
0,-1.2
0,-1.34
0,-1.17
0,-1.21
0,-1.24
0,-1.2
0,-1.18
0,-1.15
0,-1.1
0,-1.18
0,-1.15
0,-1.19
0,-1.2
0,-1.22
0,-1.15
0,-1.28
0,-1.22
0,-1.23
0,-1.02
0,-1.1
0,-1
0,-0.99
0,-1.09
0,-1.15
0,-1.11
0,-1.27
0,-1.17
0,-1.32
0,-1.31
0,-1.32
0,-1.33
0,-1.34
0,-1.31
0,-1.21
0,-1.2
0,-1.3
0,-1.35
0,-1.34
0,-1.41
0,-1.36
0,-1.29
0,-1.26
0,-1.25
0,-1.24
0,-1.11
0,-1.15
0,-1.14
0,-1.21
0,-1.3
0,-1.23
0,-1.07
0,-1.16
0,-1.2
0,-1.24
0,-1.12
0,-1.05
0,-0.99
0,-1.14
0,-1.13
0,-1.17
0,-1.26
0,-1.12
0,-1.15
0,-1.08
0,-1.06
0,-1.17
0,-1.28
0,-1.21
0,-1.24
0,-1.2
0,-1.28
0,-1.2
0,-1.12
0,-1.04
0,-1.11
0,-1.18
0,-1.15
0,-1.03
0,-1.08
0,-1.08
0,-0.99
0,-1.06
0,-1.13
0,-1.1
0,-1.08
0,-0.93
0,-1.13
0,-1.08
0,-1
0,-0.88
0,-0.99
0,-1.12
0,-1.17
0,-1.06
0,-1.08
0,-1.1
0,-1.03
0,-1.06
0,-1.21
0,-1.19
0,-1.35
0,-1.34
0,-1.38
0,-1.28
0,-1.19
0,-1.07
0,-1.16
0,-1.21
0,-1.18
0,-1.18
0,-1.25
0,-1.23
0,-1.32
0,-1.4
0,-1.25
0,-1.3
0,-1.32
0,-1.27
0,-1.15
0,-1.22
0,-1.17
0,-1.08
0,-1.08
0,-1.06
0,-1.11
0,-1.25
0,-1.17
0,-1.13
0,-1.22
0,-1.22
0,-1.31
0,-1.3
0,-1.37
0,-1.51
0,-1.38
0,-1.23
0,-1.22
0,-1.37
0,-1.25
0,-1.28
0,-1.42
0,-1.43
0,-1.35
0,-1.23
0,-1.21
0,-1.29
0,-1.14
0,-1.16
0,-1.1
0,-1.12
0,-1.19
0,-1.22
0,-1.09
0,-1.2
0,-1.22
0,-1.19
0,-1.13
0,-1.2
0,-1.03
0,-1.24
0,-1.16
0,-1.25
0,-1.07
0,-1.14
0,-1.2
0,-1.11
0,-1.05
0,-1.12
0,-1.25
0,-1.26
0,-1.29
0,-1.22
0,-1.19
0,-1.15
0,-1.16
0,-1.17
0,-1.16
0,-1.13
0,-1.28
0,-1.17
0,-1.15
0,-1.18
0,-1.14
0,-1.29
0,-1.19
0,-1.08
0,-1.19
0,-1.19
0,-1.19
0,-1.18
0,-1.15
0,-1.2
0,-1.21
0,-1.2
0,-1.14
0,-1.17
0,-1.05
0,-1.18
0,-1.16
0,-1.15
0,-1.25
0,-1.34
0,-1.36
0,-1.25
0,-1.27
0,-1.28
0,-1.34
0,-1.42
0,-1.4
0,-1.37
0,-1.46
0,-1.49
0,-1.51
0,-1.51
0,-1.41
0,-1.39
0,-1.32
0,-1.39
0,-1.5
0,-1.45
0,-1.45
0,-1.44
0,-1.32
0,-1.34
0,-1.32
0,-1.44
0,-1.47
0,-1.21
0,-1.2
0,-1.36
0,-1.33
0,-1.32
0,-1.41
0,-1.27
0,-1.32
0,-1.42
0,-1.37
0,-1.31
0,-1.34
0,-1.34
0,-1.21
0,-1.34
0,-1.26
0,-1.29
0,-1.23
0,-1.27
0,-1.33
0,-1.44
0,-1.37
0,-1.48
0,-1.52
0,-1.45
0,-1.5
0,-1.48
0,-1.46
0,-1.35
0,-1.3
0,-1.2
0,-1.2
0,-1.23
0,-1.35
0,-1.28
0,-1.31
0,-1.38
0,-1.24
0,-1.17
0,-1.24
0,-1.21
0,-1.22
0,-1.17
0,-1.25
0,-1.29
0,-1.25
0,-1.36
0,-1.3
0,-1.37
0,-1.27
0,-1.39
0,-1.37
0,-1.37
0,-1.29
0,-1.46
0,-1.32
0,-1.43
0,-1.3
0,-1.33
0,-1.35
0,-1.31
0,-1.25
0,-1.15
0,-1.11
0,-1.03
0,-1.23
0,-0.99
0,-1.22
0,-1.25
0,-1.23
0,-1.24
0,-1.27
0,-1.26
0,-1.25
0,-1.27
0,-1.24
0,-1.25
0,-1.26
0,-1.26
0,-1.13
0,-1.06
0,-1.2
0,-1.08
0,-1.13
0,-1.06
0,-1.16
0,-1.11
0,-1.04
0,-1.04
0,-0.94
0,-1.02
0,-1.1
0,-1.18
0,-1.17
0,-1.11
0,-1.24
0,-1.25
0,-1.17
0,-1.17
0,-1.24
0,-1.14
0,-1.24
0,-1.17
0,-1.25
0,-1.19
0,-1.17
0,-1.24
0,-1.27
0,-1.29
0,-1.24
0,-1.25
0,-1.1
0,-1.06
0,-1.2
0,-1.16
0,-1.08
0,-1.27
0,-1.34
0,-1.24
0,-1.18
0,-1.21
0,-1.29
0,-1.26
0,-1.21
0,-1.41
0,-1.4
0,-1.38
0,-1.45
0,-1.37
0,-1.39
0,-1.47
0,-1.44
0,-1.44
0,-1.4
0,-1.35
0,-1.38
0,-1.36
0,-1.24
0,-1.29
0,-1.2
0,-1.26
0,-1.15
0,-1.12
0,-1.05
0,-1.03
0,-1.17
0,-1.07
0,-1.17
0,-1.22
0,-1.12
0,-1.08
0,-1.07
0,-1.1
0,-1.12
0,-1.15
0,-1.22
0,-1.23
0,-1.31
0,-1.28
0,-1.24
0,-1.27
0,-1.14
0,-1.14
0,-1.22
0,-1.16
0,-1.3
0,-1.33
0,-1.34
0,-1.32
0,-1.26
0,-1.29
0,-1.34
0,-1.31
0,-1.32
0,-1.36
0,-1.43
0,-1.42
0,-1.45
0,-1.5
0,-1.37
0,-1.57
0,-1.59
0,-1.55
0,-1.48
0,-1.45
0,-1.47
0,-1.41
0,-1.43
0,-1.67
0,-1.62
0,-1.57
0,-1.39
0,-1.4
0,-1.37
0,-1.22
0,-1.26
0,-1.31
0,-1.27
0,-1.28
0,-1.38
0,-1.44
0,-1.36
0,-1.45
0,-1.34
0,-1.4
0,-1.43
0,-1.38
0,-1.46
0,-1.42
0,-1.37
0,-1.46
0,-1.47
0,-1.51
0,-1.56
0,-1.45
0,-1.38
0,-1.46
0,-1.53
0,-1.44
0,-1.36
0,-1.41
0,-1.44
0,-1.42
0,-1.3
0,-1.34
0,-1.17
0,-1.22
0,-1.14
0,-1.25
0,-1.19
0,-1.03
0,-1.11
0,-1.05
0,-1.13
0,-1.24
0,-1.1
0,-1.15
0,-1.13
0,-1.08
0,-1.13
0,-1.13
0,-1
0,-0.94
0,-0.86
0,-1.04
0,-1.1
0,-1.13
0,-1.12
0,-1.02
0,-1.05
0,-1.12
0,-1.19
0,-1.22
0,-1.16
0,-1.23
0,-1.14
0,-1.33
0,-1.18
0,-1.18
0,-1.21
0,-1.19
0,-1.22
0,-1.3
0,-1.3
0,-1.39
0,-1.43
0,-1.31
0,-1.3
0,-1.14
0,-1.18
0,-1.16
0,-1.22
0,-1.25
0,-1.35
0,-1.28
0,-1.17
0,-1.15
0,-1.19
0,-1.13
0,-1.22
0,-1.31
0,-1.22
0,-1.14
0,-1.05
0,-1.16
0,-1.16
0,-1.11
0,-1.15
0,-1.16
0,-1.07
0,-1.12
0,-1.25
0,-1.17
0,-1.3
0,-1.26
0,-1.34
0,-1.26
0,-1.3
0,-1.41
0,-1.33
0,-1.51
0,-1.47
0,-1.46
0,-1.51
0,-1.34
0,-1.21
0,-1.24
0,-1.31
0,-1.34
0,-1.31
0,-1.1
0,-1.08
0,-1.09
0,-1.07
0,-1.19
0,-1.13
0,-1.1
0,-1.11
0,-1.16
0,-1.11
0,-1.2
0,-1.23
0,-1.18
0,-1.21
0,-1.23
0,-1.04
0,-1.23
0,-1.24
0,-1.13
0,-1.18
0,-1.17
0,-1.19
0,-1.27
0,-1.33
0,-1.37
0,-1.37
0,-1.27
0,-1.13
0,-1.31
0,-1.24
0,-1.34
0,-1.23
0,-1.3
0,-1.22
0,-1.23
0,-1.21
0,-1.19
0,-1.28
0,-1.3
0,-1.34
0,-1.34
0,-1.31
0,-1.22
0,-1.17
0,-1.23
0,-1.21
0,-1.28
0,-1.28
0,-1.32
0,-1.33
0,-1.33
0,-1.33
0,-1.2
0,-1.28
0,-1.23
0,-1.23
0,-1.3
0,-1.27
0,-1.28
0,-1.3
0,-1.24
0,-1.29
0,-1.34
0,-1.29
0,-1.15
0,-1.2
0,-1.27
0,-1.16
0,-1.27
0,-1.23
0,-1.26
0,-1.19
0,-1.21
0,-1.26
0,-1.2
0,-1.29
0,-1.19
0,-1.17
0,-1.13
0,-1.25
0,-1.36
0,-1.25
0,-1.32
0,-1.31
0,-1.24
0,-1.26
0,-1.46
0,-1.4
0,-1.32
0,-1.33
0,-1.19
0,-1.14
0,-1.29
0,-1.16
0,-1.15
0,-1.13
0,-1.07
0,-1.03
0,-1.35
0,-1.22
0,-1.31
0,-1.37
0,-1.34
0,-1.44
0,-1.31
0,-1.28
0,-1.3
0,-1.27
0,-1.29
0,-1.23
0,-1.28
0,-1.3
0,-1.25
0,-1.35
0,-1.33
0,-1.43
0,-1.52
0,-1.48
0,-1.37
0,-1.33
0,-1.33
0,-1.38
0,-1.31
0,-1.28
0,-1.33
0,-1.39
0,-1.35
0,-1.46
0,-1.3
0,-1.37
0,-1.21
0,-1.31
0,-1.21
0,-1.33
0,-1.47
0,-1.51
0,-1.54
0,-1.33
0,-1.36
0,-1.28
0,-1.44
0,-1.48
0,-1.43
0,-1.43
0,-1.45
0,-1.38
0,-1.43
0,-1.3
0,-1.25
0,-1.27
0,-1.3
0,-1.23
0,-1.32
0,-1.35
0,-1.32
0,-1.36
0,-1.47
0,-1.41
0,-1.44
0,-1.29
0,-1.26
0,-1.22
0,-1.13
0,-1.02
0,-0.99
0,-1.03
0,-1.05
0,-1.08
0,-1.02
0,-1.1
0,-1.08
0,-1.19
0,-1.19
0,-1.31
0,-1.23
0,-1.24
0,-1.28
0,-1.1
0,-1.19
0,-1.2
0,-1.18
0,-1.15
0,-1.11
0,-1.23
0,-1.21
0,-1.27
0,-1.2
0,-1.2
0,-1.18
0,-1.14
0,-1.17
0,-1.22
0,-1.15
0,-1.19
0,-1.08
0,-1.12
0,-1.13
0,-1.16
0,-1.02
0,-0.98
0,-1.09
0,-1.17
0,-1.26
0,-1.28
0,-1.29
0,-1.34
0,-1.33
0,-1.2
0,-1.19
0,-1.15
0,-1.19
0,-1.2
0,-1.19
0,-1.11
0,-0.98
0,-1
0,-0.97
0,-0.81
0,-0.9
0,-0.95
0,-0.95
0,-1.06
0,-1.03
0,-1
0,-1.13
0,-1.14
0,-1.14
0,-1.09
0,-1.01
0,-1.12
0,-1.08
0,-1.01
0,-1.05
0,-1.05
0,-1.14
0,-0.99
0,-0.92
0,-1.03
0,-1.03
0,-0.93
0,-1.04
0,-1.11
0,-1.16
0,-1.1
0,-1.14
0,-1.09
0,-1.24
0,-1.26
0,-1.19
0,-1.17
1,-1.47
1,-1.34
